success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,writing_txt,writing_duration_rt,pre_writing_pause,stimulus,response
1,preload,0,6,0.0-0.0,3710758,control,2025/8/8 11:39,2025/8/8 11:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2666,0.0-1.0,3710758,control,2025/8/8 11:39,2025/8/8 11:49,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,66163,0.0-2.0,3710758,control,2025/8/8 11:39,2025/8/8 11:49,main_task_inst_tl,Array,63497,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,547699,0.0-3.0,3710758,control,2025/8/8 11:39,2025/8/8 11:49,writing_block,NULL,NULL,"私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおなか一杯に食べたいと、一年近く前から計画をしていました。
やっぱり北海道と言えばカニですね！
あとはホタテとか雲丹とかお寿司が食べたいです。
あと、北海道は牛乳がおいしそうなイメージがあるので、生クリームを使ったスイーツやソフトクリームを食べ歩きしたいです。
旅行の日程が2泊3日なので食べ歩くのにも限界がありますが、できる限り北海道の食を満喫して帰りたいと思います。
という見知らぬ人のSNS投稿を見て、自分も北海道へ行きたくなりました。
最近は旅費がどんどん高くなってきているので、ぜひドラえもんにどこでもドアをお借りして、ドアを開けたら北海道であってほしいです。",481535,4486,NULL,NULL
NULL,html-keyboard-response,4,551053,0.0-4.0,3710758,control,2025/8/8 11:39,2025/8/8 11:49,debrief,NULL,3353,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,11,0.0-0.0,6233409,control,2025/8/8 11:37,2025/8/8 11:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2980,0.0-1.0,6233409,control,2025/8/8 11:37,2025/8/8 11:49,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,36502,0.0-2.0,6233409,control,2025/8/8 11:37,2025/8/8 11:49,main_task_inst_tl,Array,33521,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,715812,0.0-3.0,6233409,control,2025/8/8 11:37,2025/8/8 11:49,writing_block,NULL,NULL,"二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにどこかからソーセージを探して持ってきました。
トラ猫は白猫のためにどこかから煮干しを探して持ってきました。

白猫はどちらを食べようか迷っています。

黒猫とトラ猫はじっと目を合わせてにらみ合いながら一歩もゆずらない気持ちです。

しばらくするといつの間にか白猫がいなくなっている事に気が付きました。
ソーセージと煮干しはそのまま残っています。

二匹は慌てて白猫を探しました。すると少し離れたところに白猫がいました。
よく見ると毛並みのいいオスのグレーの猫と一緒にいます。
そして、グレーの猫が持ってきた高級な肉をおいしそうに食べていました。

黒猫とトラ猫はがっかりしてお互い目を合わせ、仕方なく仲良くソーセージと煮干しを分け合って食べました。

その後黒猫とトラ猫はとても仲のいい大親友になりました。",679309,58025,NULL,NULL
NULL,html-keyboard-response,4,718861,0.0-4.0,6233409,control,2025/8/8 11:37,2025/8/8 11:49,debrief,NULL,3048,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,5,0.0-0.0,4960690,control,2025/8/8 11:40,2025/8/8 11:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2860,0.0-1.0,4960690,control,2025/8/8 11:40,2025/8/8 11:50,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,33500,0.0-2.0,4960690,control,2025/8/8 11:40,2025/8/8 11:50,main_task_inst_tl,Array,30639,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,566718,0.0-3.0,4960690,control,2025/8/8 11:40,2025/8/8 11:50,writing_block,NULL,NULL,"右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。
ちょうど妻が健康診断の結果を踏まえて、大腸内視鏡検査を受けていた。
自分ももしかしてと思い、大腸の不調を疑い始めた。
すぐに消化器内科を受診した。
念のため、大腸内視鏡を受けましょうということで、三週間後に決まった。
その後不安を抱えながらも日常を過ごしていたが、痛みが強くなってきた。
どう考えても筋肉的な痛みのため、腹壁瘢痕ヘルニアを疑った。
エコーで確認が取れないか、近所にクリニックを受診した。
大きな病院でCTをやらないとわからないということで紹介状をもらって予約を済ませた。
その予約日が来る前に、痛みが強く危機感を感じて受診した。
予約日前だが検査でき、その日は結果はわからなかった。
一週間後、MRIの結果が出て、原因が判明した。
腹斜筋断裂だった。
ホットしたが、３日後に大腸内視鏡検査を控えている。
原因は判明したからキャンセルするか悩んだ。
だが、せっかくだからと思い、気軽な気持ちで受けてみた。
すると、ポリープが見つかりその場で切除してもらった。
痛みの原因は、腹斜筋断裂だが、このポリープ切除は偶然にも見つかってラッキーだったといえる。
ちょうど妻の検査と腹斜筋断裂という何らかのシンクロニシティを感じる出来事だった。",533218,7341,NULL,NULL
NULL,html-keyboard-response,4,568703,0.0-4.0,4960690,control,2025/8/8 11:40,2025/8/8 11:50,debrief,NULL,1984,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,16,0.0-0.0,3260097,control,2025/8/8 11:37,2025/8/8 11:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4847,0.0-1.0,3260097,control,2025/8/8 11:37,2025/8/8 11:50,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,63272,0.0-2.0,3260097,control,2025/8/8 11:37,2025/8/8 11:50,main_task_inst_tl,Array,58423,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,778609,0.0-3.0,3260097,control,2025/8/8 11:37,2025/8/8 11:50,writing_block,NULL,NULL,"小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになり、来る日も来る日も側にずっといた。時々ご飯をあげたりもした。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか母猫を見つけて一緒にいられるようになっていた。

心から良かったと思う反面、何だか自分だけ取り残されたような気持ちになり、また一人ぼっちの孤独を味わっていたら、今度はその母猫が少年の近くまで来てじっと見つめた後、ぺこりと人間のようにお辞儀をして子猫と一緒にその場を後にしていった。

自分に感謝してくれたのかな？僕は何かの役に立てた？そう思ったら急に嬉しくなり、自分でも誰かの役に立ったりできるんだと思うようになり、それ以来少年は積極的に人と話すことができるようになり、自分に自信がついて前よりもどんどん明るくなっていった。

人はひょんなことからか変わるきっかけを見つけることができ、それは人生のターニングポイントになることがある。

そんな教訓を肌で感じ、少年はよりいっそう誰かのために行動しようと思えるようになった。そんな成長物語。",715335,10736,NULL,NULL
NULL,html-keyboard-response,4,781247,0.0-4.0,3260097,control,2025/8/8 11:37,2025/8/8 11:50,debrief,NULL,2637,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,6,0.0-0.0,1274239,control,2025/8/8 11:39,2025/8/8 11:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3101,0.0-1.0,1274239,control,2025/8/8 11:39,2025/8/8 11:53,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,34227,0.0-2.0,1274239,control,2025/8/8 11:39,2025/8/8 11:53,main_task_inst_tl,Array,31126,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,831764,0.0-3.0,1274239,control,2025/8/8 11:39,2025/8/8 11:53,writing_block,NULL,NULL,"ある日の真夜中、どうしてもお腹が空いて台所でカップ麺を作ろうとしていた。

お湯を注いでふたを閉じ、キッチンタイマーを3分にセット。

タイマーが「ピッ」と鳴った瞬間どこからともなくドアベルが鳴った。

こんな時間に誰だろうと思って玄関を開けると、作業服を着た配達員が立っていた。

胸には「ラーメン納品部」と書かれたワッペン。

「お待たせしました、納期通りです」

配達員は両手で大きな箱を差し出してきた。

中には作りかけのカップ麺がぎっしり詰まっていて、すべてお湯を入れてちょうど3分経った状態らしい。

「いや、もう作ってあるんで…」と言うと、配達員は一枚の書類を見せた。

『契約書　第7条　3分後の納品義務』と書かれている。

「契約って…いつですか？」

配達員は少し困った顔で答えた。

「小学校3年生のとき、給食でラーメン食べましたよね？あれです。」

結局一晩で14個のカップ麺を食べきることになった。

翌朝食器棚を開けると中はどんぶり麺でぎっしり埋まっていて、そこには新しい書類が置かれていた。

「次回納期：明日3分後」

僕は「契約破棄させてくれぇ！」と頭を抱えた",797536,5705,NULL,NULL
NULL,html-keyboard-response,4,834269,0.0-4.0,1274239,control,2025/8/8 11:39,2025/8/8 11:53,debrief,NULL,2504,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,8,0.0-0.0,1966230,control,2025/8/8 11:42,2025/8/8 11:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2590,0.0-1.0,1966230,control,2025/8/8 11:42,2025/8/8 11:53,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,57433,0.0-2.0,1966230,control,2025/8/8 11:42,2025/8/8 11:53,main_task_inst_tl,Array,54842,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,700553,0.0-3.0,1966230,control,2025/8/8 11:42,2025/8/8 11:53,writing_block,NULL,NULL,"A子は楽しみにしていた映画を観にショッピングモールへと車で向かっていた。いつもの道路は通勤ラッシュなのか渋滞しており、ショッピングモールまではあと少しなのになかなか車が動かない状態が続いた。
時計を見ても開場時間の10分前が迫っていた。ようやく車が動き出してショッピングモールに着いたのは上映開始の2分前だった。
すぐに車を停めてトイレだけを済ませて、チケットの発券を行い、無事に座席に座ったのは上映開始時間だったけれど、なんとか間に合った。幸い映画が始まる前の予告映像ばかりがスクリーンに映し出されていたので、安堵したのだった。
車の中では何度も間に合うだろうかと冷や汗をかき、焦りを感じたA子だけれど、実際には間に合う事が出来ていた。ただし今回の事を教訓に、時間に余裕を持っていてもトラブルに巻き込まれる可能性を危惧しておかなければいけないと思うのであった。",643119,112272,NULL,NULL
NULL,html-keyboard-response,4,703515,0.0-4.0,1966230,control,2025/8/8 11:42,2025/8/8 11:53,debrief,NULL,2960,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,20,0.0-0.0,839571,control,2025/8/8 11:41,2025/8/8 11:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4253,0.0-1.0,839571,control,2025/8/8 11:41,2025/8/8 11:57,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,63915,0.0-2.0,839571,control,2025/8/8 11:41,2025/8/8 11:57,main_task_inst_tl,Array,59662,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,979031,0.0-3.0,839571,control,2025/8/8 11:41,2025/8/8 11:57,writing_block,NULL,NULL,"ある日宇宙に小さな花が咲いていました。
その小さな花はいつか別の星に行きたいと願っていました。
なぜなら、その小さな花は意思を持っており自分が新天地に旅建つことを夢に見ていたからでした。

ですが、その小さな花は所詮花なのでそこから動くことができませんでした。なので、宇宙の旅行者が自分のところに来て一緒に連れて行って欲しいと願っていました。

それしか、その小さな花が新天地に行く手段はなかったからです。そして、ついにその小さな花は新天地に旅立つチャンスがやってきました。

なぜなら、ついに宇宙の旅行者が自分のところに来てくれて自分を一緒に連れて行って欲しいと伝えることができるチャンスが来たからです。

そして、その小さな花は旅行者に自分も一緒に宇宙旅行に連れて行って欲しいと伝えました。

ですが、その旅行者はある条件を飲めば一緒に連れていくと言って無条件では連れていってくれませんでした。

花はどうしても新天地に行きたいと思っていたので、その旅行者の条件を飲みました。

そして、旅行者は花に対してそこから自力で動くことができたら一緒に連れて行ってやると言いました。

その話を聞いた花は一瞬絶望しました。
なぜなら、花は自力でそこから動くことができなかったからです。

ですが、花はがんばりました。
どうしても新天地に行きたいという情熱があったからです。
なので、花は自力でその場を動こうとしました。

でも、所詮は花なのでその場から動くことができないでいました。最初はその姿を見てどうせ無理だろうと笑って見ていた旅行者でしたが、その小さな花の必死な姿を見ているうちにその花を一緒に連れて行ってあげたくなりました。

そして、花を摘んで一緒に新天地にとｂ",915115,5735,NULL,NULL
NULL,html-keyboard-response,4,982457,0.0-4.0,839571,control,2025/8/8 11:41,2025/8/8 11:57,debrief,NULL,3424,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,4,0.0-0.0,3585633,control,2025/8/8 11:40,2025/8/8 11:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2891,0.0-1.0,3585633,control,2025/8/8 11:40,2025/8/8 11:57,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,60043,0.0-2.0,3585633,control,2025/8/8 11:40,2025/8/8 11:57,main_task_inst_tl,Array,57152,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,1064621,0.0-3.0,3585633,control,2025/8/8 11:40,2025/8/8 11:57,writing_block,NULL,NULL,"私は、暗い夜道をただひたすらに歩いていた。
ただまっすぐに、まっすぐに。
今が何時なのかさえ一切わからない。
極端に言えば、自分が誰なのかさえわかっていない。
ただただ、何かに追われているような気がして、焦っているのだけはわかっている。

何か心の中では、何とも言えない過去という恐怖から逃れているようにも感じた。
何分歩いたのだろう。私の前に赤い明りのついた建物が見えてきた。
それはとても不気味で、地獄の入り口のようにも感じた。
しかし、私の意思とは反して、私の足は無理やりにその建物にどんどんと近づいて行こうとする。

私は、自分の足をどうにかして止めるよう必死になったが、まったく言うことを聞いてくれない。

すると突然、肩にズンと大きなモノがのしかかるのを感じた。
そして、その瞬間、私は気を失ってしまったのだ。",1004577,8374,NULL,NULL
NULL,html-keyboard-response,4,1068243,0.0-4.0,3585633,control,2025/8/8 11:40,2025/8/8 11:57,debrief,NULL,3621,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,6,0.0-0.0,5398551,control,2025/8/8 11:37,2025/8/8 11:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3514,0.0-1.0,5398551,control,2025/8/8 11:37,2025/8/8 11:59,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,125883,0.0-2.0,5398551,control,2025/8/8 11:37,2025/8/8 11:59,main_task_inst_tl,Array,122369,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,1325886,0.0-3.0,5398551,control,2025/8/8 11:37,2025/8/8 11:59,writing_block,NULL,NULL,"時代ははるか未来、AIが今より発展し、ロボットとして、人間と区別がつかないほど進化し、独自の意識を持つほどになっている。それほどまでに進化した彼らには、人間の人権のような権利が認められ、人間と共存していた。
しかしAIは万能ではない。人間が時におかしくなり犯罪を犯すように、AIもまたその回路に変調をきたすことがあり、そうなった場合彼らは罪を犯してしまう。人間以上に強靭な機械の体を持つ彼ら、その蛮行を止めるには、これまでの警察機構とは異なる、彼ら専用の強力な抑止となるものが必要になった。そうして設立されたのが、対AI警察機構カウンターAI、『CAI』である。この物語はCAIに所属することとなった新人AIロボットである『ジャック』の、戦いと葛藤についてのものである。
新人であるジャックが配属された部署には、ベテランである『ブラウン』という高性能AIを搭載した特別なロボットが所属していて、ジャックは彼に教えを乞うことになった。ジャックは先輩であるブラウンに連れられて、ロボットが引き起こす危険な犯罪現場に何度も足を踏み入れることになる。やすやすと危険な犯罪AIロボットたちを武力で破壊し制圧してしまうブラウンに対して、トラブルにうまく対処できないジャック。それは新人ゆえの経験不足からだけではなく、彼は他のCAI職員のように簡単に武力をふるって他者を制圧することに疑問を抱いているためだ。「どうしてみんなそんなに簡単に相手を破壊できるんですか？」たまらずジャックはブラウンに質問した。それに対しブラウンは「何を言っているんだ。犯罪を犯している危険なロボットはすぐに対処し破壊しなければ、ロボットだけでなく人間にも危害を及ぼす可能性があるんだ。破壊するのが当然なんだ。それがオレたちの任務だろう。ジャック、お前が何を悩んでいるのか、オレにはわからない。」どうやらほかのAIロボットたちは、こんなことを思い悩むこと自体あり得ないことのようだ。同じAIロボットのはずなのに、自分だけどうしてこんなに悩んでしまうんだろう。そういうわけでジャックは仕事の成績はあまり",1200002,2791,NULL,NULL
NULL,html-keyboard-response,4,1328334,0.0-4.0,5398551,control,2025/8/8 11:37,2025/8/8 11:59,debrief,NULL,2446,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,34,0.0-0.0,2752457,control,2025/8/8 11:39,2025/8/8 12:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,6013,0.0-1.0,2752457,control,2025/8/8 11:39,2025/8/8 12:00,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,51120,0.0-2.0,2752457,control,2025/8/8 11:39,2025/8/8 12:00,main_task_inst_tl,Array,45107,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,1251122,0.0-3.0,2752457,control,2025/8/8 11:39,2025/8/8 12:00,writing_block,NULL,NULL,ある日、日本のとある農村部に未知のウイルスが蔓延し始めた。そのウイルスに感染した者には、当初微熱が発症する。単なる風邪だろうとたかをくくっていると、その数日後に高熱・頭痛・悪寒・吐き気などの重症に発展していく。ついには吐血・目眩・意識混濁に陥り、最終的に絶命に至る。このウイルスの危機的猛威の前に、日本国内の名だたる医学者たちも全くなすすべがなかった。やがて新種のウイルスは、農村部を起点に日本国内のあらゆる地域へ感染範囲を広げていく。近隣の都市部でも感染者が現れると、自分も被害に遭うのではないかと恐れた者たちの間でパニックが広がり始める。事態を重く見た政府はウイルスの感染を食い止めるため、一人でも感染者が見つかった地域に近づかないようテレビやインターネットを通じて発信した。しかし、そんな政府の努力を嘲笑うかのようにウイルスの感染は止まる気配を見せない。多くの企業・学校・団体は一時的な閉鎖を余儀なくされ、日本社会は徐々に機能不全に陥っていく。そんな中、このウイルスに感染しても全く症状が出ない少年が現れる。彼には未知のウイルスに対する抗体があったのだ。少年の血液からウイルスのワクチンを生成できる可能性が浮上し、医学界はにわかに活気づく。ところが、ウイルスパニックで揺れる日本社会に突如降臨した謎の新興宗教団体が、少年を「悪魔の使い」だと名指しする。狂った信者たちは根も葉もない教祖の言葉を鵜呑みにし、あろうことか,1200001,5146,NULL,NULL
NULL,html-keyboard-response,4,1253714,0.0-4.0,2752457,control,2025/8/8 11:39,2025/8/8 12:00,debrief,NULL,2592,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,37,0.0-0.0,438363,control,2025/8/8 11:40,2025/8/8 12:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4223,0.0-1.0,438363,control,2025/8/8 11:40,2025/8/8 12:00,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,68815,0.0-2.0,438363,control,2025/8/8 11:40,2025/8/8 12:00,main_task_inst_tl,Array,64591,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,1201562,0.0-3.0,438363,control,2025/8/8 11:40,2025/8/8 12:00,writing_block,NULL,NULL,僕は川沿いをランニングするのが日課だった。サッカー部に入っているのだが、部活を終えた後も、足腰を鍛え、持久力を付けるために、一度家に帰った後も、こうしてランニングに励むのだった。ある日、何時ものように川沿いを走っていると突然、空が真っ黒な雲に覆われ、雷の音が響いてきた。大きな雨粒がポツポツと降ってきて、僕の顔に当たる。「雷雨だ」と慌てて、近くの大きな樹の下に雨宿りをした。雨は激しくなるばかりだった。雨具を持っていないため、このままここに止まるしかない。暗くなり視界が悪くなっていく川の景色を眺めながら、ため息をついた。川の水かさはみるみる増していく。その時だった。「そこにいては危険ですよ」激しい雷鳴や雨音に交じって、誰かが僕に呼びかける声がした。声のする方向に顔を向けると、赤い傘を差した女子高校生風の女の子がいた。「大きな木の傍にいると、そこに雷が落ちてくるかもしれません。私の傘に入ってください。一緒に安全な場所に移動しましょう」と彼女が言う。女子高生と相合傘！？何だか僕は気恥ずかしくなったが、危ないと言われれば、お言葉に甘えるしかないだろう。「ではこの先のコンビニエンスストアまで送ってもらえませんか？そこでビニール傘でも買えるので」。彼女はこくんと頷いた。歩ている間はずっとドキドキしていた。ようやくコンビニまで到着し、中に入る。しかし突然の雨でビニール傘が飛ぶように売れたらしく、1本も傘は残っていなかった。仕方がないのでコンビニで雨宿りをさせてもらうことにした。送ってくれた彼女にアイスでもおごってあげようと思って振り向くと、姿が見えない。コンビニの外を見たが、既に立ち去った後だったようだ。そのまま店で雨が止むのを待った。翌日、川沿いに行ってみると、僕が雨宿りをしていた大木が雷に打たれて、大きく割れて倒れていた。,1132746,4468,NULL,NULL
NULL,html-keyboard-response,4,1204936,0.0-4.0,438363,control,2025/8/8 11:40,2025/8/8 12:00,debrief,NULL,3372,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,10,0.0-0.0,1533311,control,2025/8/8 11:39,2025/8/8 12:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3253,0.0-1.0,1533311,control,2025/8/8 11:39,2025/8/8 12:00,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,46850,0.0-2.0,1533311,control,2025/8/8 11:39,2025/8/8 12:00,main_task_inst_tl,Array,43596,NULL,NULL,NULL,NULL,NULL
