"ID","condition","order","time","probe_interval","response","response_time_for_beep","trial_text"
"1533311","control","0","25536","19000","planning","1376","おばあさんとおじいさんが川にｓ"
"5398551","control","2","95289","17000","planning","939","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持ち、ただの機械ではなく、"
"3124577","control","7","244111","24000","output","2539","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんもお"
"3585633","control","0","22257","17000","planning","1690","私は、"
"1274239","control","1","65903","22000","planning","1095","ある夏休みのとても暑い日。友達と集まって海に行くことになった。"
"6233409","control","5","228551","25000","planning","2468","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。


"
"2752457","control","1","76320","44000","planning","1492","ある日、世界中に未知のウイルスが蔓延した。そのウイルスに感染した者には当初風邪のような発熱が発症する。"
"3260097","control","4","162595","39000","output","1737","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずのねこｎ"
"5398551","control","3","113489","15000","output","807","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持ち、人間ときょうｚただの機械ではなく、"
"3922243","control","0","20334","17000","output","1099","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてこ"
"4983408","control","1","78182","41000","output","1612","街外れにある小さな村に、一人の女の子がいました。魔法が使えるせ"
"3710758","control","0","48352","43000","output","1443","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していないけんに"
"1533311","control","1","75463","45000","planning","2447","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。"
"3260097","control","5","183467","18000","output","1418","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこら"
"6233409","control","6","254662","22000","output","2287","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにど"
"5398551","control","4","137700","21000","output","919","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持ち、人間と共存していた。彼らにはにｎ"
"1274239","control","2","108200","40000","output","776","ある夏休みのとても暑い日。友達と集まって海に行くことになった。誰が一番魚を釣れるか勝負しようという話になり罰ゲーム"
"4983408","control","2","98072","17000","output","1393","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、"
"3710758","control","1","70456","17000","output","1407","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおｎ"
"438363","control","0","41447","35000","output","1558","僕は川沿いをランニングするのが日課だった。サッカーの"
"3124577","control","8","293015","45000","output","1352","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんも弟ばかり構っていて自分を構ってもらえず不満を抱くようになりました。
あまりにもおとうと"
"3585633","control","1","70332","44000","planning","1448","私は、暗い夜道をひたすらに歩いていた。
ただまっすぐに、まっすぐに"
"3922243","control","1","50565","27000","planning","1358","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてここにいるのかもよくわからない。
　今まで自分が何をしていたのか思い出そうとするが、"
"3260097","control","6","205343","19000","output","1229","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか葉は猫を"
"4960690","control","0","49895","44000","output","2010","右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。"
"2752457","control","2","124870","45000","planning","1460","ある日、世界中に未知のウイルスが蔓延した。そのウイルスに感染した者には当初微熱が発症する。単なる風邪だろうとたかをくくっていると、その数日後に高熱・頭痛・悪寒"
"6233409","control","7","285014","27000","output","2102","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにどこかからソーセージを探しても"
"5398551","control","5","165709","25000","revision","1431","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持ち。彼らには人間の人権のように権利が認められ、"
"4983408","control","3","124638","24000","output","1111","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法はケア"
"3922243","control","2","71365","18000","revision","1241","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてここにいるのかもよくわからない。
　今まで自分が何をしていたのか思い出そうとするが、頭に靄がかかったようにぼんやりとしていた。"
"1533311","control","2","117560","39000","output","1127","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。ある日、二人の元へ少年が現れました。"
"1274239","control","3","138087","25000","planning","3239","ある夏休みのとても暑い日。友達と集まって海に行くことになった。誰が一番魚を釣れるか勝負しようという話になり罰ゲー"
"3585633","control","2","102198","28000","output","1476","私は、暗い夜道をひたすらに歩いていた。
ただまっすぐに、まっすぐに。
今が何時なのかは一切わか"
"438363","control","1","79225","34000","output","1321","僕は川沿いをランニングするのが日課だった。サッカー部に入っているのだが、部活を終えた後も、足腰を鍛え、じきゅりょくを"
"1533311","control","3","138462","16000","planning","2919","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。ある日、二人の元へ少年が現れました。ｗ"
"3260097","control","7","243948","34000","revision","2458","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか母猫を見つけて一緒にいられるようになっていた。

"
"3710758","control","2","119104","44000","planning","1825","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおなか一杯に食べたいと、一年近く計画をしていました。
やっぱり北海道と言えばカニですね！
あとはホタテとか雲丹とか"
"3124577","control","9","340471","40000","output","1304","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんも弟ばかり構っていて自分を構ってもらえず不満を抱くようになりました。
あまりにも弟ばかり構っていて太郎は寂しくて仕方がありませんでした。
そこで太郎は思いつきます。
"
"4983408","control","4","152230","25000","output","983","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法は回復魔法。優しい女の子は自分の回復魔法を"
"2752457","control","3","165251","37000","output","1163","ある日、世界中に未知のウイルスが蔓延した。そのウイルスに感染した者には当初微熱が発症する。単なる風邪だろうとたかをくくっていると、その数日後に高熱・頭痛・悪寒・吐き気といった重症に発展していく。ついには吐血・目眩"
"5398551","control","6","198553","30000","planning","1012","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持。彼らには人間の人権のように権利が認められ、人間と共存していた。"
"4960690","control","1","95336","42000","output","1355","右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。
ちょうど妻が健康診断の結果を踏まえて、大腸内視鏡検査を受けた"
"3585633","control","3","126816","21000","output","1123","私は、暗い夜道をひたすらに歩いていた。
ただまっすぐに、まっすぐに。
今が何時なのかは一切わからない。
極端に言えば、"
"1919427","control","0","36081","30000","output","1273","てつのりは長すぎた髪を切ろうと考え、いつも通っている"
"839571","control","0","49265","43000","planning","2412","ある日宇宙に小さな花が咲いていました。
その小さな花はいつか別の星に行きたいとねがいい"
"3283357","control","0","24846","20000","output","1791","カリブ海のとるとｌ"
"1274239","control","4","175231","34000","planning","1691","ある夏休みのとても暑い日。友達と集まって海に行くことになった。誰が一番魚を釣れるか勝負しようという話になり罰ゲーをする"
"3922243","control","3","111231","37000","output","1093","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてここにいるのかもよくわからない。
　今まで自分が何をしていたのか思い出そうとするが、頭に靄がかかったように記憶がぼんやりとしていた。

　しばらく部屋でぼーっとしていたが、ふと気が付くと部屋の真ん中に小さなテーブルがあった。
　先ほどまでは無かったはずなのに、と"
"6233409","control","8","334726","44000","output","4535","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにどこかからソーセージを探して持ってきました。
トラ猫は白猫のためにどこかから煮干しを探して持ってきました。

白猫はどちらをたべようｋ"
"4983408","control","5","170430","15000","output","2147","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法は回復魔法。優しい女の子は自分の回復魔法を今以上に勉強をしたいと"
"1533311","control","4","163932","22000","output","1824","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。ある日、二人の元へ少年が現れました。少年は私は桃太郎だと名乗りましたが、"
"3710758","control","3","143439","20000","planning","1799","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおなか一杯に食べたいと、一年近く計画をしていました。
やっぱり北海道と言えばカニですね！
あとはホタテとか雲丹とかお寿司が食べたいです。
あと、北海道はぎゅうにゅう"
"2752457","control","4","192495","24000","output","1442","ある日、世界中に未知のウイルスが蔓延した。そのウイルスに感染した者には当初微熱が発症する。単なる風邪だろうとたかをくくっていると、その数日後に高熱・頭痛・悪寒・吐き気などの重症に発展していく。ついには吐血・目眩・意識混濁に陥り、"
"438363","control","2","128368","45000","output","2091","僕は川沿いをランニングするのが日課だった。サッカー部に入っているのだが、部活を終えた後も、足腰を鍛え、持久力を付けるために、一度家に帰った後も、こうしてランニングに励むのだった。ある日、何時ものように川沿いを走っているととつぜん"
"3260097","control","8","284756","38000","output","1443","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか母猫を見つけて一緒にいられるようになっていた。

心から良かったと思う反面、何だか自分だけ取り残されたような気持ちになり、また一人ぼっちのこどくを"
"4960690","control","2","128463","30000","output","1483","右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。
ちょうど妻が健康診断の結果を踏まえて、大腸内視鏡検査を受けていた。
自分ももしかしてと思い、大腸の不調を疑い始めた。
すぐに消化器内科"
"1274239","control","5","200999","24000","output","792","夕方のスーパー。
レジに並んでいたら、前の男性がエプロンを着けていた。
でもそのエプロンには、スーパーのロゴではなく「ただの客です」と書かれていた。

会計を済ませた彼は、カゴを持ったままこちらを見て言った。
「今日はレジの順番、逆なんですよ。」

次の瞬間、レジ係が無言で私のカゴを持って外へ走っていった。"
"5398551","control","7","234548","33000","planning","1190","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持つほどになっている。それほどまでに進化した彼らには、人間の人権のような権利が認められ、人間と共存していた。
しかしそ"
"3922243","control","4","137537","24000","planning","1123","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてここにいるのかもよくわからない。
　今まで自分が何をしていたのか思い出そうとするが、頭に靄がかかったように記憶がぼんやりとしていた。

　しばらく部屋でぼーっとしていたが、ふと気が付くと部屋の真ん中に小さなテーブルがあった。
　先ほどまでは無かったはずなのに、と不思議に思いながら近づくと、テーブルの上には一枚の紙があった。

　「"
"839571","control","1","81615","27000","output","3348","ある日宇宙に小さな花が咲いていました。
その小さな花はいつか別の星に行きたいと願っていました。
なぜなら、その小さな花は意思をｍ"
"3710758","control","4","165744","19000","output","1728","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおなか一杯に食べたいと、一年近く計画をしていました。
やっぱり北海道と言えばカニですね！
あとはホタテとか雲丹とかお寿司が食べたいです。
あと、北海道は牛乳がおいしそうなイメージがあるので、生クリームを使ったスイーツや"
"3124577","control","10","389535","42000","revision","1281","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんも弟ばかり構っていて自分を構ってもらえず不満を抱くようになりました。
あまりにも弟ばかり構っていて太郎は寂しくて仕方がありませんでした。
そこで太郎は思いつきます。
弟が死んでしまえばお母さんもお父さんも自分の方を向いてくれるのではと。
そこで太郎は弟を殺す計画を"
"1966230","control","0","39111","30000","other","1733",
"3585633","control","4","169075","38000","revision","1321","私は、暗い夜道をひたすらに歩いていた。
ただまっすぐに、まっすぐに。
今が何時なのかは一切わからない。
極端に言えば、自分が誰なのかさえわかっていない。
ただただ、何かに追われているような気がして、"
"1919427","control","1","82112","42000","output","1369","てつのりは長すぎた髪を切ろうと考え、いつも通っている美容院を訪れた。
道中髪型をどうしようかと考えていたが、どうにも考えまとまらず、自然と"
"438363","control","3","149143","15000","output","831","僕は川沿いをランニングするのが日課だった。サッカー部に入っているのだが、部活を終えた後も、足腰を鍛え、持久力を付けるために、一度家に帰った後も、こうしてランニングに励むのだった。ある日、何時ものように川沿いを走っていると突然、空がくもでま"
"3283357","control","1","71502","41000","output","1636","カリブ海のトルトゥーガの島の酒場に、ボロボロのある男が"
"6233409","control","9","374294","37000","revision","1455","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにどこかからソーセージを探して持ってきました。
トラ猫は白猫のためにどこかから煮干しを探して持ってきました。

白猫はどちらを食べようか迷っています。

黒猫とトラ猫は"
"4960690","control","3","148395","17000","output","964","右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。
ちょうど妻が健康診断の結果を踏まえて、大腸内視鏡検査を受けていた。
自分ももしかしてと思い、大腸の不調を疑い始めた。
すぐに消化器内科を受診した。
念のため、大腸内視鏡を受けましょうというこｔ"
"3260097","control","9","305924","18000","output","1666","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか母猫を見つけて一緒にいられるようになっていた。

心から良かったと思う反面、何だか自分だけ取り残されたような気持ちになり、また一人ぼっちの孤独を味わっていたら、今度はその母猫が少年の"
"2752457","control","5","224389","29000","output","1202","ある日、世界中に未知のウイルスが蔓延した。そのウイルスに感染した者には当初微熱が発症する。単なる風邪だろうとたかをくくっていると、その数日後に高熱・頭痛・悪寒・吐き気などの重症に発展していく。ついには吐血・目眩・意識混濁に陥り、最終的に絶命に至る。このウイルスの猛威の前に"
"1533311","control","5","207994","38000","output","1203","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。ある日、二人の元へ少年が現れました。少年は私は桃太郎だと自慢げに名乗りましたが、おじいさんとおばあさんは意味がわかりません。"
"4983408","control","6","218958","45000","output","1442","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法は回復魔法。優しい女の子は自分の回復魔法を今以上に勉強をしたいと日々生きています。

こんな女の子は突然怪我をした男の子に出会いました。
「大丈夫"
"3124577","control","11","411527","17000","output","1282","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんも弟ばかり構っていて自分を構ってもらえず不満を抱くようになりました。
あまりにも弟ばかり構っていて太郎は寂しくて仕方がありませんでした。
そこで太郎は思いつきます。
弟が死んでしまえばお母さんもお父さんも自分の方を向いてくれるのではと。
そこで太郎は弟を殺す計画を立てました。
弟はいつもお母さんのおっぱいをの"
"6337447","control","0","20377","16000","output","1352","科学的なエビデンスとか、万人におけるさいｋ"
"839571","control","2","112959","27000","output","1981","ある日宇宙に小さな花が咲いていました。
その小さな花はいつか別の星に行きたいと願っていました。
なぜなら、その小さな花は意思を持っており自分が新天地に旅建つことを夢にみｔ"
"5398551","control","8","270273","33000","output","778","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を持つほどになっている。それほどまでに進化した彼らには、人間の人権のような権利が認められ、人間と共存していた。
しかしAIは万能ではない。人間が時におかしくなり犯罪を犯すように、AIもまたそのかいろ"
"6233409","control","10","394246","17000","output","1934","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹とも白猫に気に入られるように何かプレゼントをあげようと考えます。

黒猫は白猫のためにどこかからソーセージを探して持ってきました。
トラ猫は白猫のためにどこかから煮干しを探して持ってきました。

白猫はどちらを食べようか迷っています。

黒猫とトラ猫はじっと目を合わせてにらみ合いながらい"
"1274239","control","6","240935","38000","revision","591","ある日の夕方のスーパー。
レジに並んでいたら前の男性がエプロンを着けていた。でもそのエプロンにはスーパーのロゴではなく「ただの客です」と書かれていた。会計を済ませた彼はカゴを持ったままこちらを見て言った。「今日はレジの順番、逆なんですよ。」
次の瞬間、レジ係が無言で私のカゴを持って外へ走っていった。"
"3710758","control","5","201255","32000","revision","1383","私はいま、北海道に旅行に来ています。
この旅行の目的はおいしいものをたくさん食べることです。
海に面していない県に住んでいるので、おいしい海鮮をおなか一杯に食べたいと、一年近く計画をしていました。
やっぱり北海道と言えばカニですね！
あとはホタテとか雲丹とかお寿司が食べたいです。
あと、北海道は牛乳がおいしそうなイメージがあるので、生クリームを使ったスイーツやソフトクリームを食べ歩きしたいです。
"
"3283357","control","2","94367","19000","output","1461","1702年、カリブ海のトルトゥーガの島の酒場に、ボロボロの男が入店してくる。"
"4758400","control","0","34490","31000","planning","1518","都内の路上。
とある人気女優が、"
"1919427","control","2","110860","24000","output","1677","てつのりは長すぎた髪を切ろうと考え、いつも通っている美容院に行くことにしｔ。
道中髪型をどうしようかと考えていたが、どうにも考えまとまらず、自然と"
"3922243","control","5","183771","44000","output","745","　目が覚めると、真っ白い何もない部屋にいた。
　自分がどうしてここにいるのかもよくわからない。
　今まで自分が何をしていたのか思い出そうとするが、頭に靄がかかったように記憶がぼんやりとしていた。

　しばらく部屋でぼーっとしていたが、ふと気が付くと部屋の真ん中に小さなテーブルがあった。
　先ほどまでは無かったはずなのに、と不思議に思いながら近づくと、テーブルの上には一枚の紙があった。


　「どうして」


　赤い文字でそれだけが書かれていた。
　なにが"
"3260097","control","10","338316","29000","output","1700","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたいと思うようになる。

そんなある日、少年はいたはずの猫の姿を見失ってしまう。とても不安になりそこらじゅうを探し回っていると、いつの間にか母猫を見つけて一緒にいられるようになっていた。

心から良かったと思う反面、何だか自分だけ取り残されたような気持ちになり、また一人ぼっちの孤独を味わっていたら、今度はその母猫が少年の近くまで来てじっと見つめた後、ぺこりと人間のようにお辞儀をしてこねｋ"
"1966230","control","1","82902","40000","other","1053",
"4960690","control","4","183267","32000","output","1143","右下腹部に痛みを感じていたが放置していた。
最初は筋肉痛だと思っており特に何も気にしていなかった。
ちょうど妻が健康診断の結果を踏まえて、大腸内視鏡検査を受けていた。
自分ももしかしてと思い、大腸の不調を疑い始めた。
すぐに消化器内科を受診した。
念のため、大腸内視鏡を受けましょうということで、三週間後に決まった。
その後不安を抱えながらも日常を過ごしていたが、痛みが強くなってきた。
どう考えてもきんにくｔ"
"4983408","control","7","245765","24000","output","1885","街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法は回復魔法。優しい女の子は自分の回復魔法を今以上に勉強をしたいと日々生きています。

こんな女の子は突然怪我をした男の子に出会いました。
「大丈夫？怪我はない？」
と聞くと、
「大したことない。イテテ"
"839571","control","3","133026","16000","planning","2227","ある日宇宙に小さな花が咲いていました。
その小さな花はいつか別の星に行きたいと願っていました。
なぜなら、その小さな花は意思を持っており自分が新天地に旅建つことを夢に見ていたからでした。

"
"1533311","control","6","240019","29000","output","1187","おばあさんとおじいさんが川に洗濯に行きました。そこへ桃が流れてきましたが、二人とも見逃してしまいました。ある日、二人の元へ少年が現れました。少年は私は桃太郎だと自慢げに名乗りましたが、おじいさんとおばあさんは意味がわかりません。少年は二人に桃太郎の絵本を読んだことがないのかと尋ねました。ふたりを"
"3585633","control","5","216850","43000","output","1397","私は、暗い夜道をひたすらに歩いていた。
ただまっすぐに、まっすぐに。
今が何時なのかは一切わからない。
極端に言えば、自分が誰なのかさえわかっていない。
ただただ、何かに追われているような気がして、焦っている。

何か心の中では、何とも言えない過去のる"
