success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,response,outline_text,writing_txt,writing_duration_rt,pre_writing_pause,stimulus
NULL,survey-html-form,3,612810,0.0-3.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,outline_task,NULL,NULL,Array,"・太郎は平凡なサラリーマンだった。
・ある日、自宅に身に覚えのない荷物が届く。
・中を開けると、AIロボットが入っていた。
・そのAIロボットは、太郎にいろいろとアドバイスしてくれたり味方してくれた。
・おかげで、太郎は、仕事でも成功し、素敵な女性とも出会い、結婚して幸せな生活を送っていた。
・20年後、太郎は、ノーベル賞を取るくらい成長しており、AIロボットを開発し、過去に送り込む技術を発明した。
・そして、その技術を使って、過去の自分あてに、AIロボットを送った。
・荷物の送り主は、未来の太郎だったのだ。",NULL,NULL,NULL,NULL
NULL,instructions,4,677432,0.0-4.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,main_task_inst_tl,Array,64620,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1514671,0.0-5.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,writing_block,NULL,NULL,NULL,NULL,"太郎は、どこにでもいるような平凡なサラリーマンだった。
太郎は、いつも通り仕事を終え、いつものスーパーに寄った後、家に帰った。
家に帰った太郎は、玄関の前に、送り主不明の身に覚えのないに荷物が届いていることに気づいた。
宛先を確認すると、自分あてだったので、不思議に思いながらも、太郎は荷物を部屋の中に運んで、中身を空けてみることにした。
中身を空けると、そこにはロボットが入っていた。
スイッチを押すと、ロボットが起動し、「私はAIロボットです。これからあなたの生活を手助けします。どんなことでも相談してください。」と言った。
それから、太郎は、そのロボットと一緒に生活した。
ロボットは、とても頼りがいがあって、実際太郎はかなり助けられていた。
おかげで太郎は、仕事でも成功し、大きく昇進することができた。
また、プライベートでも素敵な女性と出会い、結婚し、幸せな家庭を築くことができた。
そうやって、順風満帆な生活を太郎は送っていった。
20年後、かなり賢くなっていた太郎は、仕事でAIロボットを開発し、それを過去に送り込む技術を開発した。
そして太郎は思いついた。
「これを過去の自分に送れば、自分は天才になれるのではないか？」
そして、太郎はひそかにこの計画を実行した。
そう、荷物の送り主は、未来の太郎自身だったのである。",837238,4039,NULL
NULL,html-keyboard-response,6,1518508,0.0-6.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,debrief,NULL,3837, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,4,0.0-0.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2428,0.0-1.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,41147,0.0-2.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,outline_inst_tl,Array,38718,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,521181,0.0-3.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,outline_task,NULL,NULL,Array,"現代日本の高校生が戦国時代に転生。
主人公は戦国シミュレーションにハマり、戦国時代が大好きになる。
そんなある日、徹夜でゲームをしていると意識を失い、目覚めると周りは森の中。
実はここは戦国時代のとある地域で、戦国時代に転生してしまった。
出会った村人に尋ねると、どうやら甲斐の大名武田信玄の領地にいるとのこと。
武田信玄大好きだった主人公は武田家を盛り立てるべく、その力を発揮していく。

",NULL,NULL,NULL,NULL
NULL,instructions,4,545195,0.0-4.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,main_task_inst_tl,Array,24013,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1746197,0.0-5.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,writing_block,NULL,NULL,NULL,NULL,"高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしその人の服装は異常だった。
古くてボロい着物を着ており、明らかに現代日本人ではない。
話してみると言葉は一応通じるが、やはり現代日本語と異なっている。
ここはどこかと尋ねてみると、なんと甲斐の国だという。
治めているのは武田信玄で、戦国時代の真っただ中に転生してしまったことに茂のは気づくのだった。

茂は武田信玄が大好きで、ゲームでも武田信玄を選ぶことが多かった。
そういった経緯から茂は武田信玄率いる武田家を盛り立てていこうと考える。
しかし問題はどうやって武田家にツテを作るかだ。
今の茂はルームウェアを着た、ただの怪しい人間。
そこで茂は出会った村人に神隠しにあったと嘘の事情を話し、同情を引いて協力してもらおうと考える。
幸い村人はよい人だった為、茂に衣類を貸してくれたり、村に住めるよう手配をしてくれた。
茂はさらなる信用を得る為、村長の目につくような活躍をして信頼を得ようとする。

まず茂が考えたのは井戸だ。
現代日本だと蛇口をひねれば水道水が出てくるが、この時代は井戸や川から水を汲んでくるしかない。これはかなりの重労働だ。
そこで中学時代に技術の時間で習った水の手漕ぎ汲み取り機の開発に着手する。
一高校生であった茂がすぐに開発できるものでもなかったが、村人達が手助けしてくれたおかげで開発に成功する。
村人達は茂の衣服が普通ではなかったこと、話し方も自分達とは異なっていることから高貴な生まれの人間だと感じて協力してくれたのだ。

試しに使ってみると、村人達はその効果に驚愕する。
手漕ぎ汲み取り機の棒を上下するだけで、水が出てくるのだ。
こんな便利な道具は見たことがないと村中で大騒ぎとなり、村長の目にもとまる。
こうして茂は村中から注目されるようになる。

次に茂が取り組もうとしたのは千歯扱きだ。
米の収穫は大変だったが、もっと大変だったのはその後。
手作業の為、効率は悪く時間もかかってしまう。
そこで千歯扱きの開発に取り組もうとする。
こちらもしげｒ",1201001,5750,NULL
NULL,html-keyboard-response,6,1749149,0.0-6.0,367640,outline,2025/8/8 11:30,2025/8/8 11:59,debrief,NULL,2951, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,17,0.0-0.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3917,0.0-1.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,198531,0.0-2.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,outline_inst_tl,Array,194614,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,678533,0.0-3.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,outline_task,NULL,NULL,Array,"・とある人間の家の中で、生まれた白蜘蛛がいた。
・その白蜘蛛は、体の線が細く、体も柔らかい感じである。
・白蜘蛛は、人間の家の中で、暑い夏も寒い冬も快適に暮らしていた。
・ある日、家の外から体が線が太く固い黒蜘蛛が家の中に入って来た。
・黒蜘蛛と白蜘蛛は、初めて出会う。
・黒蜘蛛は白蜘蛛の体と生活ぶりに憧れる。
・白蜘蛛は黒蜘蛛の体と生活ぶりに憧れる。
・二匹は話し合い、互いの巣を交換することで、白蜘蛛は家の外で、黒蜘蛛は家の中で生活することにした。
・しかし二匹とも、いつもとは違う生活環境に苦しむことになる。
・二匹は話し合い、互いの巣を再び交換し、元の生活に戻ることになった。
・自分が経験したことのない生活にあこがれるが、結局は、いつもの暮らしが一番快適のようだ。",NULL,NULL,NULL,NULL
NULL,instructions,4,737282,0.0-4.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,main_task_inst_tl,Array,58748,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1675706,0.0-5.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,writing_block,NULL,NULL,NULL,NULL,"　ある日、人間の家の中で、体の線が細くて柔らかい、真っ白な蜘蛛が生まれました。その白蜘蛛は、暑い冬も寒い冬も、台風の日も、大雪の日も、人間の家の中で快適に暮らしていました。
　ある日の夏、人間の家の外から、黒蜘蛛が家の中に入ってきました。その黒蜘蛛は、体の線が太くて硬く、真っ黒な蜘蛛です。そして黒蜘蛛は白蜘蛛と出会いました。黒蜘蛛は、白蜘蛛の体の線の細さと柔らかさに見とれてしまいました。白蜘蛛もまた、黒蜘蛛の体の線の太さと固さに見とれてしまいました。二匹の蜘蛛は、互いに惹かれ合い、すぐに意気投合して仲良くなりました。互いの生活の様子を話しているうちに、お互いの生活に憧れを抱くようになり、巣を交換してしばらく生活してみないかという話になり、互いの巣を交換してみることにしました。白蜘蛛は人間の家の外の黒蜘蛛の巣に、黒蜘蛛は人間の家の中の白蜘蛛の巣に住むことになりました。
　二匹は互いの巣を交換して、しばらく生活してみましたが、白蜘蛛は外の猛烈な暑さに、夏バテしてしまいました。黒蜘蛛は、人間の家の中の冷房とサーキュレーターの寒さで体調を崩してしまいました。
　二匹は互いに、元の生活に戻りたくなり、再び互いの巣を戻すことにしました。二匹ともに、別の生活に憧れるが、やっぱり住み慣れたところが一番だよねと笑い合って、元の巣に戻っていきましたとさ。",938423,8563,NULL
NULL,html-keyboard-response,6,1678837,0.0-6.0,1610899,outline,2025/8/8 11:32,2025/8/8 12:00,debrief,NULL,3131, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,4,0.0-0.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3691,0.0-1.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,59404,0.0-2.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,outline_inst_tl,Array,55712,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,539406,0.0-3.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,outline_task,NULL,NULL,Array,"ネズミのチュウタは自分の身体が小さいことを悩んでおり、町のボスであるドラ猫にいつもいじめられていた。
被害者はチュウタ以外にもいたが、みんな体が小さくてドラ猫にはかなわない。
ある日、チュウタの友達がドラ猫にいじめられていた。
チュウタはいじめられている友達を助けにドラ猫に挑むが歯が立たない。
チュウタがドラ猫と戦っている姿を見た他のネズミたちは、その姿に感化されてチュウタに加勢する。
仲間がどんどん集まり、力を合わせた結果、ドラ猫を倒すことができた。
以降、チュウタは仲間と力を合わせて平和な生活を続けている。
",NULL,NULL,NULL,NULL
NULL,instructions,4,605756,0.0-4.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,main_task_inst_tl,Array,66348,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1617948,0.0-5.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,writing_block,NULL,NULL,NULL,NULL,"ここはネズミの国です。ネズミたちの仲間が平和にのびのび暮らしていました。
その国に、ネズミの少年チュウタがいました。チュウタは他のネズミより体が小さいことにコンプレックスを持っていましたが、友達に恵まれそれなりに楽しく暮らしていました。

しかしある時、ドラ猫のドーラが国にやってきて大暴れしました。
ネズミはドーラを恐れてしまい、誰も立ち向かいません。
やがてドーラはネズミたちを支配するようになりました。

ドーラの暴力に怯える日々。
ある日、チュウタは友達がドーラに襲われている現場に出くわしました。
「助けて」と訴える友達と震えるチュウタ「ぼくなんかじゃどうしようもない」……それでもチュウタは友達が気づけられていることが許せなく、勇気を振り絞り、ドーラに立ち向かいます。

しかしチュウタの力ではやはりドーラにかないません。
ドーラの猛攻に「もうだめだ」と思ったとき、「もうお前の思い通りにはさせない」そう言って仲間の一匹が駆けつけました。

「お前如きになにができる」とあざ笑うドーラ。
しかし見ればたくさんのネズミが集まっていました。
「友達のために戦うチュウタを見て目が覚めた」と言ってネズミたちはドーラに挑みます。
傷つきながらもみんなで力を合わせた結果、チュウタたちはドーラを倒すことができました。

ドーラがいなくなり、ネズミの国は平和を取り戻しました。
以降、チュウタとネズミたちは様々な困難に対して力を合わせるようになり、ネズミの国は幸せになりました。",1012191,14103,NULL
NULL,html-keyboard-response,6,1622790,0.0-6.0,5041386,outline,2025/8/8 11:33,2025/8/8 12:00,debrief,NULL,4842, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,12,0.0-0.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4474,0.0-1.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,88031,0.0-2.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,outline_inst_tl,Array,83555,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,568083,0.0-3.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,outline_task,NULL,NULL,Array,"・主人公は飼い主に捨てられた犬
・新しい飼い主に引き取られ、今まで感じたことのない幸せをたくさん知る
・前の飼い主と一緒にいる昔の自分の夢を見る
・私は幸せになったよ、幸せになれるよと過去の自分に伝える",NULL,NULL,NULL,NULL
NULL,instructions,4,629601,0.0-4.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,main_task_inst_tl,Array,61516,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1585693,0.0-5.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,writing_block,NULL,NULL,NULL,NULL,"私の住んでいる場所は地面の上だった。暑い時も、寒い時も、ずっと一人だった。ごはんも置かれるだけで、一人で食べた。飲み水もずっと置きっぱなしで、時々水たまりも飲んだ。
ある時私は全然知らないところに連れて行ってもらえた。なんだか大きな施設だった。私の飼い主は私を置いて帰ってしまった。いつ迎えに来てくれるんだろうと待っていたら、なんだか知らない人が私を連れて行ってくれた。
新しいおうちは屋根があった。いつも誰かが一緒にいてくれる。知らないものがたくさんあって、なんだかすごく楽しかった。お水もいつも冷たくておいしかった。知らないところにもたくさん連れて行ってもらえて、沢山においを嗅いだり、景色を見たり、歩いて走って風を感じて、くたくたになるまで楽しいことがいっぱいだ。
毎日ふかふかなお布団で寝れる。寝ていたら、前に私を飼っていた人とその時の私が見えた。私の顔を見たら、なんだかつまらなそうな顔をしていた。だから、私は昔の私に教えてあげた。
今の私が知らない楽しいことがたくさんこれから待ってるんだよって。いっぱい愛してもらえるんだよって。今の私はすごく幸せなんだよ、だから楽しみに待っててねって。
なんだかおいしそうな香りがする。おいしいごはんの時間だ！夢から覚めた時、大好きなお母さんが見えた。",956090,5455,NULL
NULL,html-keyboard-response,6,1588389,0.0-6.0,5081515,outline,2025/8/8 11:35,2025/8/8 12:01,debrief,NULL,2694, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,6,0.0-0.0,769122,outline,2025/8/8 11:32,2025/8/8 12:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3830,0.0-1.0,769122,outline,2025/8/8 11:32,2025/8/8 12:01,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,129553,0.0-2.0,769122,outline,2025/8/8 11:32,2025/8/8 12:01,outline_inst_tl,Array,125721,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,609559,0.0-3.0,769122,outline,2025/8/8 11:32,2025/8/8 12:01,outline_task,NULL,NULL,Array,"・森の中で黒猫のミーが暮らしている
・子猫の頃に女の子に出会って名付けてもらった
・ミーは大きくなったので女の子を探しに行こうと思い立った
・旅の途中でいろいろな仲間と出会い助けられる
・ついには森のはずれで女の子と再会する
・女の子の家族にも認められてこれからは一緒に暮らすことになる
・独りぼっちの猫が家族を見つける話",NULL,NULL,NULL,NULL
NULL,instructions,4,656744,0.0-4.0,769122,outline,2025/8/8 11:32,2025/8/8 12:01,main_task_inst_tl,Array,47182,NULL,NULL,NULL,NULL,NULL,NULL
