"success","task","trial_type","trial_index","time_elapsed","internal_node_id","ID","condition","StartTime","EndTime","view_history","rt","stimulus","response","response_raw","response_normalized","correct_answer","correct"
NULL,NULL,"html-keyboard-response","11","57835","0.0-2.0-1.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_practice","html-keyboard-response","12","64242","0.0-2.0-1.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"5BD","5BD","5BD","1"
NULL,NULL,"html-keyboard-response","13","66244","0.0-2.0-1.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<p style='color:green; font-size: 48px;'>正解です！</p>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","14","67245","0.0-2.0-2.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">1</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","15","68246","0.0-2.0-2.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">G</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","16","69248","0.0-2.0-2.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">C</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","17","70249","0.0-2.0-2.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">7</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","18","71250","0.0-2.0-2.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_practice","html-keyboard-response","19","75362","0.0-2.0-2.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"17CG","17CG","17CG","1"
NULL,NULL,"html-keyboard-response","20","77363","0.0-2.0-2.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<p style='color:green; font-size: 48px;'>正解です！</p>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","21","78364","0.0-2.0-3.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">F</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","22","79366","0.0-2.0-3.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">6</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","23","80367","0.0-2.0-3.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","24","81368","0.0-2.0-3.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","25","82369","0.0-2.0-3.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_practice","html-keyboard-response","26","86930","0.0-2.0-3.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"26AF","26AF","26AF","1"
NULL,NULL,"html-keyboard-response","27","88931","0.0-2.0-3.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<p style='color:green; font-size: 48px;'>正解です！</p>",NULL,NULL,NULL,NULL,NULL
NULL,"main_task_inst_tl","instructions","28","94459","0.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10","Array","5527",NULL,NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","29","95461","0.0-4.0-0.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">D</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","30","96462","0.0-4.0-0.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">3</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","31","97463","0.0-4.0-0.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">B</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","32","98464","0.0-4.0-0.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">1</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","33","99465","0.0-4.0-0.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","34","103978","0.0-4.0-0.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"13BD","13BD","13BD","1"
NULL,"presentation_trials_main","html-keyboard-response","35","104979","0.0-4.0-1.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","36","105980","0.0-4.0-1.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">7</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","37","106981","0.0-4.0-1.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">4</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","38","107982","0.0-4.0-1.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">F</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","39","108984","0.0-4.0-1.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","40","112082","0.0-4.0-1.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"47AF","47AF","47AF","1"
NULL,"presentation_trials_main","html-keyboard-response","41","113083","0.0-4.0-2.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","42","114087","0.0-4.0-2.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">G</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","43","115089","0.0-4.0-2.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">E</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","44","116091","0.0-4.0-2.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">5</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","45","117093","0.0-4.0-2.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","46","120538","0.0-4.0-2.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"25EG","25EG","25EG","1"
NULL,"presentation_trials_main","html-keyboard-response","47","121541","0.0-4.0-3.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">D</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","48","122543","0.0-4.0-3.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">3</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","49","123545","0.0-4.0-3.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">B</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","50","124546","0.0-4.0-3.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">7</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","51","125547","0.0-4.0-3.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","52","126549","0.0-4.0-3.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","53","131898","0.0-4.0-3.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"37ABE","37ABE","37ABD",
NULL,"presentation_trials_main","html-keyboard-response","54","132900","0.0-4.0-4.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">F</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","55","133901","0.0-4.0-4.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","56","134902","0.0-4.0-4.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">K</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","57","135903","0.0-4.0-4.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">5</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","58","136904","0.0-4.0-4.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">C</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","59","137906","0.0-4.0-4.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","60","145042","0.0-4.0-4.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"25CFK","25CFK","25CFK","1"
NULL,"presentation_trials_main","html-keyboard-response","61","146043","0.0-4.0-5.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">4</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","62","147046","0.0-4.0-5.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">M</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","63","148047","0.0-4.0-5.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">H</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","64","149048","0.0-4.0-5.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">1</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","65","150050","0.0-4.0-5.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">E</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","66","151051","0.0-4.0-5.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","67","157306","0.0-4.0-5.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"14EHM","14EHM","14EHM","1"
NULL,"presentation_trials_main","html-keyboard-response","68","158308","0.0-4.0-6.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">G</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","69","159310","0.0-4.0-6.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">9</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","70","160311","0.0-4.0-6.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","71","161312","0.0-4.0-6.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">L</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","72","162313","0.0-4.0-6.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","73","163314","0.0-4.0-6.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">5</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","74","164315","0.0-4.0-6.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","75","174043","0.0-4.0-6.0-7.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"259ALG","259ALG","259AGL",
NULL,"presentation_trials_main","html-keyboard-response","76","175044","0.0-4.0-7.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">3</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","77","176045","0.0-4.0-7.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">B</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","78","177047","0.0-4.0-7.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">N</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","79","178048","0.0-4.0-7.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">7</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","80","179050","0.0-4.0-7.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">D</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","81","180051","0.0-4.0-7.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">F</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","82","181053","0.0-4.0-7.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","83","192723","0.0-4.0-7.0-7.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"37BDFN","37BDFN","37BDFN","1"
NULL,"presentation_trials_main","html-keyboard-response","84","193724","0.0-4.0-8.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">E</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","85","194732","0.0-4.0-8.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">6</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","86","195734","0.0-4.0-8.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">1</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","87","196746","0.0-4.0-8.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">Q</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","88","197747","0.0-4.0-8.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">H</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","89","198748","0.0-4.0-8.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">8</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","90","199749","0.0-4.0-8.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","91","205170","0.0-4.0-8.0-7.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"168EHQ","168EHQ","168EHQ","1"
NULL,"presentation_trials_main","html-keyboard-response","92","206171","0.0-4.0-9.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">C</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","93","207172","0.0-4.0-9.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">4</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","94","208174","0.0-4.0-9.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">T</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","95","209175","0.0-4.0-9.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">K</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","96","210183","0.0-4.0-9.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","97","211184","0.0-4.0-9.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","98","212186","0.0-4.0-9.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">9</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","99","213186","0.0-4.0-9.0-7.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","100","223771","0.0-4.0-9.0-8.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"249ACKT","249ACKT","249ACKT","1"
NULL,"presentation_trials_main","html-keyboard-response","101","224773","0.0-4.0-10.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">6</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","102","225774","0.0-4.0-10.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">Z</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","103","226776","0.0-4.0-10.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">R</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","104","227778","0.0-4.0-10.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">3</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","105","228780","0.0-4.0-10.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">B</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","106","229781","0.0-4.0-10.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">J</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","107","230783","0.0-4.0-10.0-6.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">M</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","108","231785","0.0-4.0-10.0-7.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_main","html-keyboard-response","109","240379","0.0-4.0-10.0-8.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"36BLRZ","36BLRZ","36BJMRZ",
NULL,"presentation_trials_main","html-keyboard-response","110","241380","0.0-4.0-11.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">L</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","111","242381","0.0-4.0-11.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">5</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","112","243382","0.0-4.0-11.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">1</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","113","244384","0.0-4.0-11.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">G</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","114","245386","0.0-4.0-11.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">X</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_main","html-keyboard-response","115","246387","0.0-4.0-11.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">D</div>",NULL,NULL,NULL,NULL,NULL
