"success","task","trial_type","trial_index","time_elapsed","internal_node_id","ID","condition","StartTime","EndTime","view_history","rt","stimulus","response","correct_answer","sentence_text","correct"
NULL,"feedback_trial","html-keyboard-response","13","35131","0.0-2.0-4.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","14","37629","0.0-2.0-5.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2498","<p>物語の終わり方を考えている。</p>","2","プランニング","物語の終わり方を考えている。",
NULL,"feedback_trial","html-keyboard-response","15","38129","0.0-2.0-5.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","16","38621","0.0-2.0-5.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"491","<p>物語の終わり方を考えている。</p>","1","プランニング","物語の終わり方を考えている。",
NULL,"feedback_trial","html-keyboard-response","17","39123","0.0-2.0-5.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","18","39741","0.0-2.0-5.2-0.2","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"617","<p>物語の終わり方を考えている。</p>","0","プランニング","物語の終わり方を考えている。","1"
NULL,"feedback_trial","html-keyboard-response","19","40242","0.0-2.0-5.2-1.2","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","20","42445","0.0-2.0-6.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2202","<p>タイマーの残り時間を確認した。</p>","3","その他","タイマーの残り時間を確認した。","1"
NULL,"feedback_trial","html-keyboard-response","21","42946","0.0-2.0-6.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","22","44541","0.0-2.0-7.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1595","<p>表現をより自然に直している。</p>","2","修正","表現をより自然に直している。","1"
NULL,"feedback_trial","html-keyboard-response","23","45043","0.0-2.0-7.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","24","46613","0.0-2.0-8.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1570","<p>書くことをやめて指を回していた。</p>","3","その他","書くことをやめて指を回していた。","1"
NULL,"feedback_trial","html-keyboard-response","25","47114","0.0-2.0-8.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","26","49157","0.0-2.0-9.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2042","<p>「ある日」という言葉を打ち込んでいる。</p>","1","出力","「ある日」という言葉を打ち込んでいる。","1"
NULL,"feedback_trial","html-keyboard-response","27","49658","0.0-2.0-9.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","28","51261","0.0-2.0-10.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1602","<p>テーマに合った話を作ろうとしている。</p>","0","プランニング","テーマに合った話を作ろうとしている。","1"
NULL,"feedback_trial","html-keyboard-response","29","51762","0.0-2.0-10.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","30","53214","0.0-2.0-11.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1452","<p>内容を読み返して見直している。</p>","0","修正","内容を読み返して見直している。",
NULL,"feedback_trial","html-keyboard-response","31","53715","0.0-2.0-11.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","32","55189","0.0-2.0-11.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1473","<p>内容を読み返して見直している。</p>","2","修正","内容を読み返して見直している。","1"
NULL,"feedback_trial","html-keyboard-response","33","55690","0.0-2.0-11.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","34","57213","0.0-2.0-12.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1522","<p>全体の流れを思い描いている。</p>","0","プランニング","全体の流れを思い描いている。","1"
NULL,"feedback_trial","html-keyboard-response","35","57714","0.0-2.0-12.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","36","58725","0.0-2.0-13.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1010","<p>頭の中の話を形にしている。</p>","0","出力","頭の中の話を形にしている。",
NULL,"feedback_trial","html-keyboard-response","37","59226","0.0-2.0-13.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","38","60629","0.0-2.0-13.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1403","<p>頭の中の話を形にしている。</p>","2","出力","頭の中の話を形にしている。",
NULL,"feedback_trial","html-keyboard-response","39","61131","0.0-2.0-13.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","40","61485","0.0-2.0-13.2-0.2","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"354","<p>頭の中の話を形にしている。</p>","1","出力","頭の中の話を形にしている。","1"
NULL,"feedback_trial","html-keyboard-response","41","61986","0.0-2.0-13.2-1.2","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","42","63533","0.0-2.0-14.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1546","<p>目を閉じてぼーっとしていた。</p>","3","その他","目を閉じてぼーっとしていた。","1"
NULL,"feedback_trial","html-keyboard-response","43","64035","0.0-2.0-14.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","44","65333","0.0-2.0-15.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1297","<p>この話の舞台をどうするか決めている。</p>","0","プランニング","この話の舞台をどうするか決めている。","1"
NULL,"feedback_trial","html-keyboard-response","45","65833","0.0-2.0-15.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","46","67853","0.0-2.0-16.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2019","<p>誤字脱字を確認するために、本文を読み直している。</p>","2","修正","誤字脱字を確認するために、本文を読み直している。","1"
NULL,"feedback_trial","html-keyboard-response","47","68354","0.0-2.0-16.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","48","69853","0.0-2.0-17.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1498","<p>思いついた文をそのまま書いている。</p>","1","出力","思いついた文をそのまま書いている。","1"
NULL,"feedback_trial","html-keyboard-response","49","70353","0.0-2.0-17.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","50","71493","0.0-2.0-18.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1140","<p>キャラクターの名前を入力している。</p>","0","出力","キャラクターの名前を入力している。",
NULL,"feedback_trial","html-keyboard-response","51","71994","0.0-2.0-18.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","52","72413","0.0-2.0-18.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"418","<p>キャラクターの名前を入力している。</p>","1","出力","キャラクターの名前を入力している。","1"
NULL,"feedback_trial","html-keyboard-response","53","72921","0.0-2.0-18.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","54","74237","0.0-2.0-19.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1315","<p>キーボードで文章を入力している。</p>","1","出力","キーボードで文章を入力している。","1"
NULL,"feedback_trial","html-keyboard-response","55","74738","0.0-2.0-19.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","56","75813","0.0-2.0-20.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1074","<p>話のつながりがおかしいので直した。</p>","2","修正","話のつながりがおかしいので直した。","1"
NULL,"feedback_trial","html-keyboard-response","57","76314","0.0-2.0-20.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","58","77253","0.0-2.0-21.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"939","<p>誤字を修正した。</p>","2","修正","誤字を修正した。","1"
NULL,"feedback_trial","html-keyboard-response","59","77755","0.0-2.0-21.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","60","79453","0.0-2.0-22.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1697","<p>時系列を整理している。</p>","2","プランニング","時系列を整理している。",
NULL,"feedback_trial","html-keyboard-response","61","79955","0.0-2.0-22.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","62","82053","0.0-2.0-22.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2098","<p>時系列を整理している。</p>","0","プランニング","時系列を整理している。","1"
NULL,"feedback_trial","html-keyboard-response","63","82554","0.0-2.0-22.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","64","83941","0.0-2.0-23.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1386","<p>何も思いつかずに机の上を眺めていた。</p>","3","その他","何も思いつかずに机の上を眺めていた。","1"
NULL,"feedback_trial","html-keyboard-response","65","84443","0.0-2.0-23.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","66","85781","0.0-2.0-24.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1338","<p>どんな登場人物がいいか悩んでいる。</p>","0","プランニング","どんな登場人物がいいか悩んでいる。","1"
NULL,"feedback_trial","html-keyboard-response","67","86281","0.0-2.0-24.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","68","87797","0.0-2.0-25.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1516","<p>文章が変だったので書き直した。</p>","2","修正","文章が変だったので書き直した。","1"
NULL,"feedback_trial","html-keyboard-response","69","88312","0.0-2.0-25.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","70","89765","0.0-2.0-26.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1452","<p>文章をどんどんタイピングしている。</p>","1","出力","文章をどんどんタイピングしている。","1"
NULL,"feedback_trial","html-keyboard-response","71","90266","0.0-2.0-26.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","72","92485","0.0-2.0-27.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2218","<p>読みにくい部分を調整している。</p>","2","修正","読みにくい部分を調整している。","1"
NULL,"feedback_trial","html-keyboard-response","73","92986","0.0-2.0-27.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"task_description","html-keyboard-response","74","95591","0.0-3.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2605","
      <p style=""text-align: left"">本課題では、<strong>あなたが考えたオリジナルの面白い物語を書いていただきます。</strong></p>
      <p style=""text-align: left"">その時に、いま覚えてもらった4種類の思考内容についてもお尋ねします。</p>
      <p><br><br></p>
      <p style=""text-align: left"">次に、本課題の前に行ってもらう課題の説明に移ります。準備ができたらスペースキーを押してください。</p>
    "," ",NULL,NULL,NULL
"1","FullScreen","fullscreen","0","6381","0.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"category_inst_tl","instructions","1","50471","0.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57","Array","44088",NULL,NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","2","55012","0.0-2.0-0.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"4539","<p>この話の舞台をどうするか決めている。</p>","0","プランニング","この話の舞台をどうするか決めている。","1"
NULL,"feedback_trial","html-keyboard-response","3","55514","0.0-2.0-0.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","4","59539","0.0-2.0-1.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"4023","<p>書くことをやめて指を回していた。</p>","3","その他","書くことをやめて指を回していた。","1"
NULL,"feedback_trial","html-keyboard-response","5","60041","0.0-2.0-1.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","6","63396","0.0-2.0-2.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"3354","<p>自分の書いた文字を眺めていたが、何も考えていなかった。</p>","3","その他","自分の書いた文字を眺めていたが、何も考えていなかった。","1"
NULL,"feedback_trial","html-keyboard-response","7","63898","0.0-2.0-2.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","8","66027","0.0-2.0-3.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2128","<p>話のつながりがおかしいので直した。</p>","2","修正","話のつながりがおかしいので直した。","1"
NULL,"feedback_trial","html-keyboard-response","9","66538","0.0-2.0-3.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","10","68867","0.0-2.0-4.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2327","<p>読みにくい部分を調整している。</p>","2","修正","読みにくい部分を調整している。","1"
NULL,"feedback_trial","html-keyboard-response","11","69369","0.0-2.0-4.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","12","71172","0.0-2.0-5.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1802","<p>テーマに合った話を作ろうとしている。</p>","0","プランニング","テーマに合った話を作ろうとしている。","1"
NULL,"feedback_trial","html-keyboard-response","13","71673","0.0-2.0-5.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","14","73780","0.0-2.0-6.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2104","<p>頭の中の話を形にしている。</p>","0","出力","頭の中の話を形にしている。",
NULL,"feedback_trial","html-keyboard-response","15","74281","0.0-2.0-6.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","16","75804","0.0-2.0-6.1-0.1","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1521","<p>頭の中の話を形にしている。</p>","1","出力","頭の中の話を形にしている。","1"
NULL,"feedback_trial","html-keyboard-response","17","76306","0.0-2.0-6.1-1.1","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","18","79164","0.0-2.0-7.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2856","<p>何も思いつかずに机の上を眺めていた。</p>","3","その他","何も思いつかずに机の上を眺めていた。","1"
NULL,"feedback_trial","html-keyboard-response","19","79666","0.0-2.0-7.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","20","81924","0.0-2.0-8.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2257","<p>どんな登場人物がいいか悩んでいる。</p>","0","プランニング","どんな登場人物がいいか悩んでいる。","1"
NULL,"feedback_trial","html-keyboard-response","21","82425","0.0-2.0-8.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","22","84860","0.0-2.0-9.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2433","<p>思いついた言葉をすぐに書いている。</p>","1","出力","思いついた言葉をすぐに書いている。","1"
NULL,"feedback_trial","html-keyboard-response","23","85361","0.0-2.0-9.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","24","87268","0.0-2.0-10.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1905","<p>目を閉じてぼーっとしていた。</p>","3","その他","目を閉じてぼーっとしていた。","1"
NULL,"feedback_trial","html-keyboard-response","25","87769","0.0-2.0-10.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","26","89508","0.0-2.0-11.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1737","<p>キーボードで文章を入力している。</p>","1","出力","キーボードで文章を入力している。","1"
NULL,"feedback_trial","html-keyboard-response","27","90010","0.0-2.0-11.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","28","92476","0.0-2.0-12.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2465","<p>誤字脱字を確認するために、本文を読み直している。</p>","2","修正","誤字脱字を確認するために、本文を読み直している。","1"
NULL,"feedback_trial","html-keyboard-response","29","92978","0.0-2.0-12.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","30","94188","0.0-2.0-13.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1208","<p>誤字を修正した。</p>","2","修正","誤字を修正した。","1"
NULL,"feedback_trial","html-keyboard-response","31","94690","0.0-2.0-13.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","32","96108","0.0-2.0-14.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1416","<p>話の構成を考えている。</p>","0","プランニング","話の構成を考えている。","1"
NULL,"feedback_trial","html-keyboard-response","33","96610","0.0-2.0-14.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","34","98428","0.0-2.0-15.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"1817","<p>「ある日」という言葉を打ち込んでいる。</p>","1","出力","「ある日」という言葉を打ち込んでいる。","1"
NULL,"feedback_trial","html-keyboard-response","35","98929","0.0-2.0-15.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","36","101136","0.0-2.0-16.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2205","<p>文章が変だったので書き直した。</p>","2","修正","文章が変だったので書き直した。","1"
NULL,"feedback_trial","html-keyboard-response","37","101637","0.0-2.0-16.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","38","104636","0.0-2.0-17.0-0.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,"2998","<p>タイマーの残り時間を確認した。</p>","3","その他","タイマーの残り時間を確認した。","1"
NULL,"feedback_trial","html-keyboard-response","39","105138","0.0-2.0-17.0-1.0","3260097","control","2025/8/8 11:28:38","2025/8/8 11:30:57",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
