ID,Duration (in seconds),Sex,Age,AcademicDegree,PracticeTrial_1_1,PracticeTrial_1_2,PracticeTrial_1_3,PracticeTrial_2_1,PracticeTrial_2_2,PracticeTrial_2_3,PracticeTrial_3_1,PracticeTrial_3_2,PracticeTrial_3_3,A_control_1_1,A_control_1_2,A_control_1_3,A_control_2_1,A_control_2_2,A_control_2_3,A_control_3_1,A_control_3_2,A_control_3_3,A_control_4_1,A_control_4_2,A_control_4_3,A_outline_1_1,A_outline_1_2,A_outline_1_3,A_outline_2_1,A_outline_2_2,A_outline_2_3,A_outline_3_1,A_outline_3_2,A_outline_3_3,A_structured_1_1,A_structured_1_2,A_structured_1_3,A_structured_2_1,A_structured_2_2,A_structured_2_3,A_structured_3_1,A_structured_3_2,A_structured_3_3,B_control_5_1,B_control_5_2,B_control_5_3,B_control_6_1,B_control_6_2,B_control_6_3,B_control_7_1,B_control_7_2,B_control_7_3,B_control_8_1,B_control_8_2,B_control_8_3,B_outline_4_1,B_outline_4_2,B_outline_4_3,B_outline_5_1,B_outline_5_2,B_outline_5_3,B_outline_6_1,B_outline_6_2,B_outline_6_3,B_structured_4_1,B_structured_4_2,B_structured_4_3,B_structured_5_1,B_structured_5_2,B_structured_5_3,B_structured_6_1,B_structured_6_2,B_structured_6_3,C_control_9_1,C_control_9_2,C_control_9_3,C_control_10_1,C_control_10_2,C_control_10_3,C_control_11_1,C_control_11_2,C_control_11_3,C_outline_7_1,C_outline_7_2,C_outline_7_3,C_outline_8_1,C_outline_8_2,C_outline_8_3,C_outline_9_1,C_outline_9_2,C_outline_9_3,C_structured_7_1,C_structured_7_2,C_structured_7_3,C_structured_8_1,C_structured_8_2,C_structured_8_3,C_structured_9_1,C_structured_9_2,C_structured_9_3,C_structured_10_1,C_structured_10_2,C_structured_10_3,D_control_12_1,D_control_12_2,D_control_12_3,D_control_13_1,D_control_13_2,D_control_13_3,D_control_14_1,D_control_14_2,D_control_14_3,D_outline_10_1,D_outline_10_2,D_outline_10_3,D_outline_11_1,D_outline_11_2,D_outline_11_3,D_outline_12_1,D_outline_12_2,D_outline_12_3,D_structured_11_1,D_structured_11_2,D_structured_11_3,D_structured_12_1,D_structured_12_2,D_structured_12_3,D_structured_14_1,D_structured_14_2,D_structured_14_3,E_control_15_1,E_control_15_2,E_control_15_3,E_control_16_1,E_control_16_2,E_control_16_3,E_control_17_1,E_control_17_2,E_control_17_3,E_outline_13_1,E_outline_13_2,E_outline_13_3,E_outline_14_1,E_outline_14_2,E_outline_14_3,E_outline_15_1,E_outline_15_2,E_outline_15_3,E_structured_15_1,E_structured_15_2,E_structured_15_3,E_structured_16_1,E_structured_16_2,E_structured_16_3,E_structured_17_1,E_structured_17_2,E_structured_17_3,E_structured_18_1,E_structured_18_2,E_structured_18_3,F_control_18_1,F_control_18_2,F_control_18_3,F_control_19_1,F_control_19_2,F_control_19_3,F_control_20_1,F_control_20_2,F_control_20_3,F_outline_16_1,F_outline_16_2,F_outline_16_3,F_outline_17_1,F_outline_17_2,F_outline_17_3,F_outline_18_1,F_outline_18_2,F_outline_18_3,F_structured_19_1,F_structured_19_2,F_structured_19_3,F_structured_20_1,F_structured_20_2,F_structured_20_3,F_structured_21_1,F_structured_21_2,F_structured_21_3,F_structured_22_1,F_structured_22_2,F_structured_22_3,Group
15,695,2,50,2,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,4,2,1,4,5,4,6,3,4,2,5,4,4,2,2,4,2,2,1,4,2,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
16,597,2,44,4,1,2,1,2,1,2,2,2,2,5,6,5,5,5,5,3,2,3,5,5,6,5,3,7,3,5,2,2,3,2,6,6,3,1,2,6,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
17,731,1,37,4,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,5,5,4,3,6,3,2,2,2,4,5,6,5,3,4,5,5,4,6,6,5,7,6,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
18,726,1,48,5,1,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,3,5,6,5,3,5,5,6,5,5,4,3,3,2,6,5,6,5,5,5,5,2,6,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
19,771,2,30,4,2,2,1,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,6,4,5,1,1,5,6,6,5,6,6,7,5,4,5,4,4,5,3,5,1,5,3,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
20,756,1,44,4,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,5,3,6,7,6,6,3,6,5,6,5,6,3,2,6,3,2,6,2,2,1,2,2,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
21,849,2,59,4,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,3,5,5,6,6,4,4,3,5,4,6,4,4,4,4,2,5,4,4,5,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
22,732,1,28,4,2,2,2,1,1,2,2,2,1,5,5,6,3,3,5,4,4,3,3,3,5,3,3,6,5,5,5,4,4,2,4,3,5,4,3,6,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
23,862,1,42,4,1,2,1,1,1,2,1,2,1,6,6,7,5,2,6,3,2,2,6,5,6,3,2,6,3,5,5,5,5,6,6,3,3,2,2,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
24,872,1,34,4,1,2,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,3,4,6,4,5,4,5,4,5,5,5,6,6,5,5,5,4,5,5,4,4,5,6,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
25,940,2,44,2,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,5,3,6,5,3,6,4,6,6,1,2,6,5,3,1,2,5,3,3,2,7,2,2,6,4,5,6,F
26,723,1,55,4,2,2,2,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,6,6,5,4,6,2,2,6,2,2,6,2,2,2,2,2,6,6,5,6,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
27,837,2,47,4,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,3,3,5,7,7,7,6,5,7,7,6,6,3,3,4,6,5,7,7,6,6,2,2,6,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
28,869,1,47,3,1,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,4,5,3,5,2,1,6,4,6,5,2,5,5,5,6,5,2,2,4,2,3,3,1,4,5,7,5,F
29,823,1,45,2,2,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,5,2,6,6,2,5,4,2,5,5,3,6,6,3,6,6,3,6,5,5,3,5,3,2,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
30,872,2,24,4,2,2,1,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,6,3,2,4,2,5,5,5,6,6,5,7,5,5,6,5,3,5,5,5,1,5,2,4,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
31,853,2,29,1,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,6,5,5,6,4,3,4,4,4,6,4,4,3,5,3,5,5,5,5,4,4,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
32,554,2,48,3,1,2,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,4,4,5,5,5,7,5,5,6,4,5,5,4,4,6,5,4,5,7,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
33,929,1,53,4,2,2,2,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,5,4,5,4,6,5,3,5,4,4,3,5,3,3,5,4,3,2,2,2,3,3,4,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
34,1029,2,39,4,1,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,6,6,2,2,6,6,2,6,6,2,6,2,2,2,2,2,2,6,6,6,6,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
35,823,2,30,4,1,2,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,4,6,4,4,6,5,5,5,6,1,4,5,6,6,4,1,2,5,2,3,7,2,3,2,2,7,4,F
36,437,2,48,3,1,2,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,4,3,5,4,5,6,5,5,3,2,3,5,5,5,3,3,2,5,3,3,6,3,2,5,6,6,4,F
37,709,1,47,4,1,2,2,1,1,2,2,2,1,1,2,5,6,3,6,3,2,6,6,3,6,3,2,6,6,5,4,2,2,5,6,3,6,2,2,5,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
38,1079,2,31,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,7,2,7,2,1,6,7,3,7,6,3,5,6,6,6,6,5,6,6,3,6,6,1,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
39,1117,2,51,3,1,2,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,3,5,2,5,5,6,5,3,7,6,5,3,5,3,3,6,2,7,5,3,3,3,3,3,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
40,1109,2,42,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,6,7,6,3,3,2,1,1,4,2,2,5,3,5,5,1,1,4,5,6,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
41,1134,1,55,4,2,2,2,1,1,2,2,2,2,4,3,6,6,2,5,1,1,1,5,2,5,2,1,6,1,3,2,4,1,5,5,2,6,3,1,5,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
42,942,1,31,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,1,3,4,5,5,5,5,6,4,5,5,4,3,5,5,3,5,2,4,2,4,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
43,1035,1,46,3,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,4,6,3,5,5,2,5,4,4,3,5,5,5,5,1,5,4,4,7,6,6,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
44,1193,1,49,3,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,2,5,3,5,5,5,6,3,3,4,6,4,3,2,2,2,2,3,3,5,5,4,5,5,6,F
45,845,1,39,4,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,6,5,7,3,2,5,6,5,6,3,2,3,2,2,6,4,2,6,5,3,5,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
